activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:09:43.245166 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:11:48.173801 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:13:53.222656 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:15:58.332911 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:18:03.222304 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:20:08.376585 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:22:13.258390 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:24:18.319220 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:26:23.223627 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:28:28.036968 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:30:33.009136 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:32:37.786112 UTC,0,0.0
false,2.0,[],2.0,143,false,32.073687,34.765448,[],"[{'languageId': 0, 'text': 'אלנבי 1, תל אביב יפו'}, {'languageId': 1, 'text': 'אלנבי 1, תל אביב יפו'}]",true,2019-01-10 09:34:42.574303 UTC,0,0.0
